City,total_price
FERNDALE,10000.0
EBBW VALE,18000.0
BLYTH,18000.0
WAKEFIELD,18899.0
MORPETH,19000.0
MANSFIELD,21166.666666666668
THETFORD,22500.0
BEDWORTH,23000.0
HOVE,23000.0
CHESTERFIELD,24612.5
GLOSSOP,25000.0
BRADFORD,25166.666666666668
HINCKLEY,25500.0
CHARD,26500.0
GUISBOROUGH,26900.0
LEYLAND,28000.0
BOOTLE,28500.0
BOLTON,29000.0
SMETHWICK,29375.0
OLDHAM,29783.333333333332
WASHINGTON,29950.0
MILTON KEYNES,29995.0
WISBECH,29995.0
DERBY,29995.0
GRANTHAM,30225.0
COVENTRY,30250.0
ST. AUSTELL,31000.0
LEIGH,31000.0
BRIDGWATER,31500.0
HIGHBRIDGE,32500.0
BLACKBURN,33000.0
NEWCASTLE,33000.0
WALLSEND,33000.0
THORNTON-CLEVELEYS,34000.0
CONGLETON,34000.0
PONTYPOOL,34000.0
MANCHESTER,34201.11111111111
LINCOLN,34500.0
LIVERPOOL,34582.142857142855
DONCASTER,34770.0
LLANDUDNO JUNCTION,35000.0
Y FELINHELI,35000.0
BRIDLINGTON,35000.0
HAVERFORDWEST,35000.0
ROMNEY MARSH,35000.0
BALDOCK,35200.0
SOWERBY BRIDGE,35975.0
CAERPHILLY,36000.0
WOODBRIDGE,36000.0
MORECAMBE,36250.0
BILSTON,37000.0
OLDBURY,37000.0
NORTH SHIELDS,37500.0
BEVERLEY,37975.0
SALE,38000.0
WALTON ON THE NAZE,38000.0
SHREWSBURY,38500.0
BUCKLEY,38500.0
BARRY,38581.666666666664
HUDDERSFIELD,38750.0
HAYLE,39000.0
PUDSEY,39500.0
STOKE-ON-TRENT,39750.0
DUDLEY,39950.0
HIGH PEAK,40000.0
ADDLESTONE,40000.0
SWANSEA,40373.75
BARNSLEY,40500.0
PONTYPRIDD,40500.0
NEWTON-LE-WILLOWS,41000.0
BIDEFORD,41000.0
LYME REGIS,41500.0
HUNTINGDON,41912.5
ANDOVER,42000.0
SWINDON,42166.666666666664
NEWPORT,42750.0
PLYMOUTH,42850.0
CANNOCK,43000.0
CARNFORTH,43000.0
MIDDLESBROUGH,43333.333333333336
BRIGHTON,43762.5
HALESOWEN,44000.0
STRATFORD-UPON-AVON,44000.0
SUDBURY,44000.0
LEIGH-ON-SEA,44250.0
BOREHAMWOOD,44500.0
COLWYN BAY,44500.0
PAIGNTON,45000.0
HOLMFIRTH,45000.0
TREDEGAR,45000.0
SPALDING,45000.0
COTTINGHAM,45000.0
HEMEL HEMPSTEAD,45500.0
SCARBOROUGH,45500.0
FOLKESTONE,45700.0
CLEVEDON,46000.0
BRIDGEND,46500.0
WHITSTABLE,47000.0
HULL,47250.0
BIRKENHEAD,47250.0
KEIGHLEY,48000.0
MIDHURST,48000.0
AYLESFORD,48000.0
PEACEHAVEN,48000.0
PENZANCE,48250.0
WIGAN,48375.0
NEWMARKET,48500.0
KIDDERMINSTER,48500.0
BILLINGHAM,48625.0
TAMWORTH,48750.0
LOWESTOFT,48750.0
NOTTINGHAM,48875.0
BIRMINGHAM,48890.0
NORTH WALSHAM,48950.0
WATERLOOVILLE,49000.0
SOUTHSEA,49000.0
ASHTON-UNDER-LYNE,49500.0
HALIFAX,49950.0
CHESTER LE STREET,50000.0
PORTSMOUTH,50000.0
DURHAM,50500.0
LEICESTER,51161.11111111111
ASHFORD,51333.333333333336
EASTBOURNE,51375.0
HARWICH,52000.0
CHESTER,52000.0
PORTHCAWL,52000.0
SOUTHAMPTON,53612.5
COLCHESTER,53690.0
BUCKINGHAM,54000.0
NARBERTH,55000.0
ST. HELENS,55000.0
SOUTH OCKENDON,55000.0
KETTERING,55000.0
IPSWICH,55333.333333333336
BARKING,55500.0
BRACKLEY,55500.0
CHELMSFORD,55693.75
MITCHAM,55950.0
BASILDON,55995.0
WITNEY,56000.0
ROMSEY,56000.0
STOURBRIDGE,56250.0
NEWCASTLE UPON TYNE,56841.333333333336
GRIMSBY,56950.0
LOOE,57000.0
ST. IVES,57000.0
WOLVERHAMPTON,57250.0
CHORLEY,57500.0
ERITH,57500.0
SHEFFIELD,57900.0
SWANLEY,57995.0
CRAWLEY,58750.0
MARCH,59000.0
TORQUAY,59000.0
ALTON,59500.0
HARTLEPOOL,59500.0
CAMBERLEY,59950.0
LEIGHTON BUZZARD,59950.0
SLOUGH,59995.0
BELPER,59995.0
HARLOW,59995.0
DIDCOT,59999.0
LICHFIELD,60000.0
FALMOUTH,60000.0
TIVERTON,60000.0
SUTTON,60000.0
CARSHALTON,60000.0
BENFLEET,60497.5
LEEDS,60500.0
WETHERBY,60875.0
BURGESS HILL,60900.0
WILMSLOW,61500.0
RICKMANSWORTH,62000.0
LITTLEHAMPTON,62000.0
HARPENDEN,62000.0
BASINGSTOKE,62500.0
BURY,62975.0
PETERBOROUGH,63000.0
CLEATOR MOOR,63000.0
GLOUCESTER,63250.0
NORTHAMPTON,63530.0
MANNINGTREE,64000.0
GRAYS,64165.0
SUTTON COLDFIELD,64237.5
SUNDERLAND,64450.0
BRIERLEY HILL,64950.0
TWICKENHAM,64950.0
HOLMROOK,65000.0
STOCKTON-ON-TEES,65000.0
GOOLE,65000.0
OAKHAM,65500.0
HEREFORD,65750.0
SCUNTHORPE,65950.0
CROYDON,66000.0
TELFORD,66475.0
WIMBORNE,66750.0
BEDLINGTON,66950.0
KING'S LYNN,67000.0
BOGNOR REGIS,68000.0
FELIXSTOWE,68166.66666666667
GUILDFORD,68950.0
MORDEN,69500.0
BUDLEIGH SALTERTON,69950.0
BURY ST. EDMUNDS,69995.0
NORMANTON,70000.0
DARLINGTON,70000.0
CARTERTON,70000.0
HARROGATE,70000.0
BANBURY,70000.0
YEOVIL,70750.0
NUNEATON,70750.0
FARNBOROUGH,70900.0
WIRRAL,71333.33333333333
WORCESTER,72000.0
ALTRINCHAM,72125.0
HORNCHURCH,73000.0
BEDFORD,73715.0
MIDDLEWICH,74950.0
BRENTWOOD,75000.0
GREENFORD,77500.0
STOCKPORT,77737.5
WEMBLEY,78000.0
CALDICOT,78500.0
HIGH WYCOMBE,79500.0
MARKFIELD,79950.0
EDGWARE,79950.0
ALDERSHOT,79983.33333333333
GREAT YARMOUTH,80000.0
BARNET,80000.0
WALLASEY,81000.0
SALISBURY,81750.0
FAREHAM,82000.0
KENILWORTH,83000.0
POTTERS BAR,84000.0
SIDCUP,85000.0
ESHER,85500.0
BEXHILL-ON-SEA,85550.0
NORTHWICH,85995.0
LETCHWORTH GARDEN CITY,86000.0
WOODFORD GREEN,86500.0
CHELTENHAM,86500.0
WORCESTER PARK,86850.0
SEVENOAKS,88000.0
SOUTH CROYDON,88500.0
WADHURST,90000.0
BICESTER,90000.0
MAIDSTONE,90000.0
WEST MOLESEY,90500.0
HENFIELD,92000.0
BUSHEY,92500.0
WEYMOUTH,93750.0
HITCHIN,95000.0
PETERSFIELD,95000.0
NEWBURY,95625.0
HOLYWELL,97000.0
LOUGHTON,99495.0
OXFORD,99500.0
BRISTOL,100124.75
LEAMINGTON SPA,100700.0
POOLE,101750.0
WARRINGTON,103375.0
ENFIELD,104000.0
ST. ALBANS,104250.0
LYTHAM ST. ANNES,105000.0
READING,110333.33333333333
LONDON,111022.66666666667
WESTON-SUPER-MARE,112500.0
ORPINGTON,115000.0
BRACKNELL,115950.0
UXBRIDGE,124500.0
DARTFORD,125000.0
BROMLEY,132000.0
WELWYN GARDEN CITY,135500.0
OXTED,136000.0
LOUGHBOROUGH,137500.0
MALDON,140995.0
CHIPPING CAMPDEN,145000.0
DOVER,147000.0
WINCHESTER,149995.0
LUTTERWORTH,150000.0
CONISTON,151500.0
WARE,157500.0
TUNBRIDGE WELLS,160000.0
TEDDINGTON,169250.0
DUNSTABLE,171500.0
AYLESBURY,172000.0
CAMBRIDGE,177000.0
SOLIHULL,184500.0
ARUNDEL,216000.0
HENLEY-ON-THAMES,229950.0
RICHMOND,258500.0
WEYBRIDGE,275000.0
