District,count
BIRMINGHAM,7
LEEDS,7
WIRRAL,6
MANCHESTER,5
DUDLEY,5
HINCKLEY AND BOSWORTH,4
SOUTH HEREFORDSHIRE,4
NORTHAMPTON,4
BRADFORD,4
COLCHESTER,4
RUSHMOOR,4
MID SUSSEX,4
SANDWELL,3
LLIW VALLEY,3
SOUTH SOMERSET,3
ELMBRIDGE,3
TEST VALLEY,3
TENDRING,3
THE EAST YORKSHIRE BOROUGH OF BEVERLEY,3
AYLESBURY VALE,3
MANSFIELD,3
THURROCK,3
STOCKTON-ON-TEES,3
NOTTINGHAM,3
BROMLEY,3
WOODSPRING,3
MIDDLESBROUGH,3
NEWBURY,3
BRISTOL,3
CALDERDALE,3
SEDGEMOOR,3
LIVERPOOL,3
SUTTON,3
SUFFOLK COASTAL,3
MAIDSTONE,3
SEVENOAKS,3
BLABY,3
WAVENEY,3
BARNET,3
CHELMSFORD,3
PENWITH,3
VALE OF GLAMORGAN,3
WINCHESTER,2
KING'S LYNN AND WEST NORFOLK,2
ARUN,2
KIRKLEES,2
CROYDON,2
DONCASTER,2
NORTH HERTFORDSHIRE,2
HUNTINGDONSHIRE,2
HARBOROUGH,2
LEICESTER,2
COPELAND,2
BEXLEY,2
SHEPWAY,2
STOKE-ON-TRENT,2
LANCASTER,2
SOUTH OXFORDSHIRE,2
OGWR,2
WARWICK,2
ASHFORD,2
POOLE,2
WEST OXFORDSHIRE,2
EAST DORSET,2
CARADON,2
BLAENAU GWENT,2
RICHMOND UPON THAMES,2
CONGLETON,2
NUNEATON AND BEDWORTH,2
BASSETLAW,2
SOUTHWARK,2
CHERWELL,2
TORBAY,2
PORTSMOUTH,2
HERTSMERE,2
WALTHAM FOREST,2
RUSHCLIFFE,2
COVENTRY,2
ROTHER,2
SOUTHEND-ON-SEA,2
COTSWOLD,2
CHESTERFIELD,2
THE WREKIN,2
STAFFORDSHIRE MOORLANDS,2
BRIGHTON,2
BOOTHFERRY,2
TAFF-ELY,2
SEFTON,2
SHEFFIELD,2
STOCKPORT,2
CASTLE POINT,2
SOUTHAMPTON,2
EALING,2
MERTON,2
SOUTH KESTEVEN,2
PLYMOUTH,2
NORTH TYNESIDE,2
ST ALBANS,2
SUNDERLAND,2
BASINGSTOKE AND DEANE,2
WARRINGTON,2
NEWCASTLE UPON TYNE,2
DURHAM,2
WANDSWORTH,2
NORTH BEDFORDSHIRE,2
TRAFFORD,2
IPSWICH,2
CASTLE MORPETH,2
SCARBOROUGH,2
GUILDFORD,2
COLWYN,2
ABERCONWY,1
RUTLAND,1
CHORLEY,1
FAREHAM,1
MILTON KEYNES,1
HART,1
CARRICK,1
CHESTER,1
NORTH WILTSHIRE,1
WELWYN HATFIELD,1
WOKINGHAM,1
BARNSLEY,1
SLOUGH,1
HAMMERSMITH AND FULHAM,1
NORTH SHROPSHIRE,1
GEDLING,1
NORTH NORFOLK,1
ST HELENS,1
GREAT GRIMSBY,1
SOUTH RIBBLE,1
TAMWORTH,1
SOUTH HOLLAND,1
ST EDMUNDSBURY,1
LICHFIELD,1
SOUTH CAMBRIDGESHIRE,1
MEDINA,1
ENFIELD,1
EASTBOURNE,1
TORRIDGE,1
TORFAEN,1
WALSALL,1
SOLIHULL,1
CONWY,1
MID BEDFORDSHIRE,1
RESTORMEL,1
MONMOUTH,1
DARLINGTON,1
BRAINTREE,1
SOUTH NORTHAMPTONSHIRE,1
BRACKNELL FOREST,1
HARROW,1
EAST HAMPSHIRE,1
WOLVERHAMPTON,1
NEWCASTLE-UNDER-LYME,1
EAST NORTHAMPTONSHIRE,1
SCUNTHORPE,1
DAVENTRY,1
CHESTER-LE-STREET,1
ISLINGTON,1
BABERGH,1
STRATFORD-ON-AVON,1
PETERBOROUGH,1
KERRIER,1
PEMBROKESHIRE,1
BURY,1
WIGAN,1
SWANSEA,1
HORSHAM,1
ALYN AND DEESIDE,1
DOVER,1
LANGBAURGH-ON-TEES,1
OXFORD,1
SALISBURY,1
FENLAND,1
WEYMOUTH AND PORTLAND,1
TUNBRIDGE WELLS,1
OLDHAM,1
WEST DORSET,1
RHONDDA,1
HILLINGDON,1
CRAVEN,1
TONBRIDGE AND MALLING,1
LEWES,1
DELYN,1
MALDON,1
EASTLEIGH,1
BRENTWOOD,1
SOUTH LAKELAND,1
HARROGATE,1
VALE ROYAL,1
PRESELI PEMBROKESHIRE,1
BASILDON,1
ARFON,1
BARKING AND DAGENHAM,1
HAVERING,1
RHYMNEY VALLEY,1
EAST YORKSHIRE,1
HOVE,1
CANTERBURY,1
KETTERING,1
DERBY,1
BRENT,1
CHELTENHAM,1
KINGSTON UPON HULL,1
LINCOLN,1
READING,1
EAST HERTFORDSHIRE,1
FOREST HEATH,1
THAMESDOWN,1
SOUTH BEDFORDSHIRE,1
NEWPORT,1
WYCOMBE,1
GLOUCESTER,1
MID DEVON,1
CAMBRIDGE,1
OADBY AND WIGSTON,1
WYRE FOREST,1
CHARNWOOD,1
WAKEFIELD,1
HARTLEPOOL,1
AMBER VALLEY,1
NORTH EAST DERBYSHIRE,1
HAVANT,1
EPPING FOREST,1
HACKNEY,1
WORCESTER,1
BRECKLAND,1
DACORUM,1
TANDRIDGE,1
CANNOCK CHASE,1
