County,total_price
WOKINGHAM,127500.0
BRACKNELL FOREST,115950.0
BEDFORDSHIRE,112829.0
BERKSHIRE,112083.33333333333
GLOUCESTERSHIRE,109937.5
WARRINGTON,103375.0
GREATER LONDON,103056.90909090909
POOLE,101750.0
SURREY,97027.27272727272
OXFORDSHIRE,96868.625
CUMBRIA,93166.66666666667
AVON,93166.5
BUCKINGHAMSHIRE,91362.5
CAMBRIDGESHIRE,84546.42857142857
HERTFORDSHIRE,82580.0
KENT,78513.0
GWENT,78500.0
WEST SUSSEX,77754.54545454546
LEICESTERSHIRE,73813.63636363637
HAMPSHIRE,71630.9375
DARLINGTON,70000.0
DORSET,67187.5
HEREFORD AND WORCESTER,65750.0
RUTLAND,65500.0
NORTHAMPTONSHIRE,64518.75
WARWICKSHIRE,61940.0
THURROCK,61873.75
ESSEX,61785.0
CHESHIRE,61689.0
CLWYD,60500.0
WILTSHIRE,60375.0
WORCESTERSHIRE,60250.0
SLOUGH,59995.0
HARTLEPOOL,59500.0
NORTHUMBERLAND,59237.5
READING,58500.0
SHROPSHIRE,57150.0
SUFFOLK,55018.846153846156
PEMBROKESHIRE,55000.0
WEST MIDLANDS,54445.454545454544
STOCKTON-ON-TEES,54083.333333333336
EAST SUSSEX,52435.0
TORBAY,52000.0
DEVON,51330.0
NORTH YORKSHIRE,51000.0
DURHAM,50333.333333333336
CORNWALL,50062.5
SOUTH YORKSHIRE,49981.25
NORFOLK,49689.0
PORTSMOUTH,49500.0
HUMBERSIDE,48535.0
LANCASHIRE,48437.5
SOUTHAMPTON,48250.0
STAFFORDSHIRE,47541.666666666664
MERSEYSIDE,47254.6875
GREATER MANCHESTER,47021.53846153846
WEST GLAMORGAN,46665.0
NEWPORT,46500.0
WEST YORKSHIRE,45402.45
SOUTHEND-ON-SEA,44250.0
SOMERSET,44083.333333333336
THAMESDOWN,43750.0
MIDDLESBROUGH,43333.333333333336
TYNE AND WEAR,41438.666666666664
LEICESTER,41316.666666666664
ISLE OF WIGHT,39000.0
SOUTH GLAMORGAN,38581.666666666664
NOTTINGHAMSHIRE,37613.63636363636
MID GLAMORGAN,37583.333333333336
GWYNEDD,35000.0
DYFED,35000.0
LINCOLNSHIRE,34987.5
TORFAEN,34000.0
DERBYSHIRE,31680.0
BLAENAU GWENT,31500.0
MILTON KEYNES,29995.0
STOKE-ON-TRENT,29250.0
CONWY,27000.0
CLEVELAND,26900.0
SWANSEA,21500.0
