Price,District
312000,SOUTH BEDFORDSHIRE
280000,BARNET
275000,ELMBRIDGE
275000,CAMBRIDGE
258500,RICHMOND UPON THAMES
255000,WOODSPRING
235000,SOUTHWARK
229950,SOUTH OXFORDSHIRE
216000,HORSHAM
206950,CITY OF WESTMINSTER
184500,SOLIHULL
180000,CITY OF WESTMINSTER
172000,AYLESBURY VALE
169250,RICHMOND UPON THAMES
160000,TUNBRIDGE WELLS
160000,COTSWOLD
157500,EAST HERTFORDSHIRE
157500,ISLINGTON
156000,WANDSWORTH
153000,STOCKPORT
151500,SOUTH LAKELAND
150000,HARBOROUGH
149995,WINCHESTER
147000,DOVER
145000,HAMMERSMITH AND FULHAM
145000,NEWBURY
143000,HAMMERSMITH AND FULHAM
142000,NEWBURY
140995,MALDON
140000,NORTH HERTFORDSHIRE
137500,CHARNWOOD
137000,SOUTH OXFORDSHIRE
136000,TANDRIDGE
135500,WELWYN HATFIELD
134000,KENSINGTON AND CHELSEA
133000,CASTLE MORPETH
132000,BROMLEY
132000,BROMLEY
130500,ST ALBANS
130000,COTSWOLD
128500,WANDSWORTH
128000,POOLE
127500,WIRRAL
127500,WOKINGHAM
125000,SEVENOAKS
124500,HILLINGDON
124000,HAMMERSMITH AND FULHAM
122000,ARUN
121250,BARNET
116750,WARRINGTON
115950,BRACKNELL FOREST
115000,BROMLEY
112500,WOODSPRING
110995,LAMBETH
110000,MAIDSTONE
105000,FYLDE
105000,SHEFFIELD
104000,ENFIELD
100700,WARWICK
100650,NORTHAMPTON
100000,BRAINTREE
99495,EPPING FOREST
98000,NORTH BEDFORDSHIRE
97000,DELYN
95000,THURROCK
95000,WINCHESTER
95000,NORTH HERTFORDSHIRE
94000,ELMBRIDGE
93750,WEYMOUTH AND PORTLAND
93000,BIRMINGHAM
92500,HERTSMERE
92000,MID SUSSEX
90000,CHERWELL
90000,BARNET
90000,WARRINGTON
90000,ROTHER
89000,RUSHCLIFFE
88500,CROYDON
88000,SEVENOAKS
88000,EAST NORTHAMPTONSHIRE
87500,HAMMERSMITH AND FULHAM
87500,MAIDSTONE
87000,SUFFOLK COASTAL
87000,NORTHAMPTON
87000,ELMBRIDGE
86850,SUTTON
86750,TRAFFORD
86500,WALTHAM FOREST
86500,CHELTENHAM
86500,SUFFOLK COASTAL
85995,VALE ROYAL
85550,ROTHER
85500,ELMBRIDGE
85000,SOUTH HEREFORDSHIRE
85000,ARUN
85000,BEXLEY
84500,BARNET
84000,HERTSMERE
83000,GUILDFORD
83000,WARWICK
82750,HART
82500,HINCKLEY AND BOSWORTH
82500,EALING
82000,EALING
82000,KERRIER
82000,FAREHAM
81950,RUSHMOOR
81750,SALISBURY
81500,EAST DORSET
81000,WIRRAL
81000,WANDSWORTH
80000,ENFIELD
80000,GREAT YARMOUTH
80000,BURY
79995,MID BEDFORDSHIRE
79950,HARROW
79950,HINCKLEY AND BOSWORTH
79500,THE EAST YORKSHIRE BOROUGH OF BEVERLEY
79500,WYCOMBE
79000,SOUTH CAMBRIDGESHIRE
79000,BIRMINGHAM
79000,GUILDFORD
78500,MONMOUTH
78000,ST ALBANS
78000,BRENT
77500,SOUTH SOMERSET
77495,WALTHAM FOREST
77000,SOUTH HEREFORDSHIRE
76000,LEEDS
75500,CITY OF WESTMINSTER
75500,POOLE
75000,RUSHMOOR
75000,BRENTWOOD
75000,CARADON
75000,BLABY
75000,WIRRAL
74950,CONGLETON
74775,CHELMSFORD
73000,HAVERING
73000,EALING
72500,MAIDSTONE
72000,LLIW VALLEY
72000,WORCESTER
70250,WAVENEY
70000,CHERWELL
70000,HARROGATE
70000,TOWER HAMLETS
70000,WEST OXFORDSHIRE
70000,DARLINGTON
70000,BIRMINGHAM
70000,WAKEFIELD
69995,FOREST HEATH
69950,EAST DEVON
69950,THE WREKIN
69950,TEST VALLEY
69950,RUSHMOOR
69500,SUFFOLK COASTAL
69500,MERTON
69500,MERTON
69000,COLWYN
68000,SHEFFIELD
68000,GUILDFORD
68000,CASTLE POINT
67500,LEEDS
67500,BRIGHTON
67000,KING'S LYNN AND WEST NORFOLK
67000,DUDLEY
67000,HARINGEY
66950,WANSBECK
66500,SOUTHWARK
66000,SCARBOROUGH
66000,CROYDON
65950,SCUNTHORPE
65500,RUTLAND
65000,SOUTHEND-ON-SEA
65000,HACKNEY
65000,COPELAND
65000,STOCKTON-ON-TEES
65000,BOOTHFERRY
65000,BASINGSTOKE AND DEANE
64995,TOWER HAMLETS
64950,DUDLEY
64950,HOUNSLOW
64450,SUNDERLAND
64000,SOUTH SOMERSET
64000,BIRMINGHAM
64000,OADBY AND WIGSTON
64000,STAFFORDSHIRE MOORLANDS
64000,TENDRING
63500,DAVENTRY
63250,GLOUCESTER
63200,HUNTINGDONSHIRE
63000,LEEDS
63000,COPELAND
63000,THE WREKIN
62800,MID SUSSEX
62000,BARNET
62000,THREE RIVERS
62000,OXFORD
62000,ST ALBANS
61500,MID SUSSEX
61500,MACCLESFIELD
61000,TENDRING
60000,MIDDLESBROUGH
60000,NEWCASTLE UPON TYNE
60000,ASHFORD
60000,RUSHMOOR
60000,SUTTON
60000,BASINGSTOKE AND DEANE
60000,MID DEVON
60000,SUTTON
60000,DURHAM
60000,LICHFIELD
60000,ENFIELD
59999,SOUTH OXFORDSHIRE
59999,BRISTOL
59995,AMBER VALLEY
59995,SLOUGH
59995,HARLOW
59950,BIRMINGHAM
59950,SURREY HEATH
59950,AYLESBURY VALE
59850,GUILDFORD
59750,WIGAN
59500,HARTLEPOOL
59500,EAST HAMPSHIRE
59450,STOCKPORT
59000,MID SUSSEX
59000,NUNEATON AND BEDWORTH
59000,TORBAY
59000,CHORLEY
59000,FENLAND
58500,READING
58250,EASTBOURNE
58000,CHELMSFORD
57995,SEVENOAKS
57600,SEFTON
57500,BEXLEY
57500,TRAFFORD
57250,WOLVERHAMPTON
57000,BLABY
57000,HUNTINGDONSHIRE
56950,GREAT GRIMSBY
56750,SALFORD
56000,WEST OXFORDSHIRE
56000,LEEDS
56000,TEST VALLEY
56000,CRAWLEY
56000,SHEFFIELD
56000,CHORLEY
55995,BASILDON
55950,MERTON
55500,PENWITH
55500,SOUTH NORTHAMPTONSHIRE
55500,BARKING AND DAGENHAM
55000,THAMESDOWN
55000,KETTERING
55000,STOCKPORT
55000,THURROCK
55000,PEMBROKESHIRE
55000,ST HELENS
54995,THURROCK
54250,LEEDS
54000,AYLESBURY VALE
