District,total_price
CAMBRIDGE,275000.0
HORSHAM,216000.0
RICHMOND UPON THAMES,213875.0
SOLIHULL,184500.0
SOUTH BEDFORDSHIRE,171500.0
TUNBRIDGE WELLS,160000.0
ISLINGTON,157500.0
EAST HERTFORDSHIRE,157500.0
CITY OF WESTMINSTER,154150.0
SOUTH LAKELAND,151500.0
SOUTHWARK,150750.0
DOVER,147000.0
COTSWOLD,145000.0
SOUTH OXFORDSHIRE,142316.33333333334
MALDON,140995.0
WOODSPRING,137833.33333333334
CHARNWOOD,137500.0
TANDRIDGE,136000.0
WELWYN HATFIELD,135500.0
ELMBRIDGE,135375.0
KENSINGTON AND CHELSEA,134000.0
BARNET,127550.0
WOKINGHAM,127500.0
BROMLEY,126333.33333333333
HAMMERSMITH AND FULHAM,124875.0
HILLINGDON,124500.0
WINCHESTER,122497.5
WANDSWORTH,121833.33333333333
BRACKNELL FOREST,115950.0
NEWBURY,112083.33333333333
LAMBETH,110995.0
FYLDE,105000.0
WARRINGTON,103375.0
POOLE,101750.0
HARBOROUGH,100500.0
BRAINTREE,100000.0
EPPING FOREST,99495.0
DELYN,97000.0
AYLESBURY VALE,95316.66666666667
WEYMOUTH AND PORTLAND,93750.0
WARWICK,91850.0
SEVENOAKS,90331.66666666667
ST ALBANS,90166.66666666667
MAIDSTONE,90000.0
EAST NORTHAMPTONSHIRE,88000.0
ROTHER,87775.0
CHELTENHAM,86500.0
VALE ROYAL,85995.0
HART,82750.0
FAREHAM,82000.0
KERRIER,82000.0
WALTHAM FOREST,81997.5
SALISBURY,81750.0
GREAT YARMOUTH,80000.0
CHERWELL,80000.0
MID BEDFORDSHIRE,79995.0
HARROW,79950.0
WYCOMBE,79500.0
EALING,79166.66666666667
SOUTH CAMBRIDGESHIRE,79000.0
MONMOUTH,78500.0
BRENT,78000.0
STOCKPORT,77737.5
CROYDON,77250.0
CASTLE MORPETH,76000.0
NORTH HERTFORDSHIRE,75550.0
BRENTWOOD,75000.0
ENFIELD,74000.0
HAVERING,73000.0
GUILDFORD,72462.5
WORCESTER,72000.0
RUSHMOOR,71725.0
BEXLEY,71250.0
NORTH BEDFORDSHIRE,70575.0
DARLINGTON,70000.0
HARROGATE,70000.0
WAKEFIELD,70000.0
FOREST HEATH,69995.0
EAST DEVON,69950.0
RUSHCLIFFE,69500.0
SUTTON,68950.0
MID SUSSEX,68825.0
TOWER HAMLETS,67497.5
HARINGEY,67000.0
WANSBECK,66950.0
EAST DORSET,66750.0
THE WREKIN,66475.0
HERTSMERE,66375.0
SCUNTHORPE,65950.0
SOUTH HEREFORDSHIRE,65750.0
RUTLAND,65500.0
SUFFOLK COASTAL,65500.0
ARUN,65000.0
HACKNEY,65000.0
MERTON,64983.333333333336
HOUNSLOW,64950.0
WIRRAL,64916.666666666664
COPELAND,64000.0
OADBY AND WIGSTON,64000.0
NORTHAMPTON,63537.5
DAVENTRY,63500.0
GLOUCESTER,63250.0
WEST OXFORDSHIRE,63000.0
