City,total_price
FAREHAM,82000.0
MILTON KEYNES,29995.0
BEDLINGTON,66950.0
ESHER,85500.0
LONDON,95054.375
BARRY,47995.0
EASTBOURNE,44500.0
MIDDLEWICH,74950.0
LEICESTER,46950.0
SOLIHULL,184500.0
DARLINGTON,70000.0
CAMBERLEY,59950.0
SCUNTHORPE,65950.0
STOCKTON-ON-TEES,65000.0
NORTHWICH,85995.0
PETERSFIELD,95000.0
WIGAN,59750.0
HARPENDEN,62000.0
SWANSEA,32995.0
MIDDLESBROUGH,60000.0
GRAYS,54995.0
LOUGHTON,99495.0
KENILWORTH,83000.0
OXFORD,137000.0
BRACKNELL,115950.0
NORTHAMPTON,65250.0
LEIGHTON BUZZARD,59950.0
BRISTOL,255000.0
TWICKENHAM,64950.0
LIVERPOOL,44475.0
MALDON,140995.0
BRIGHTON,67500.0
HUNTINGDON,63200.0
MAIDSTONE,110000.0
BASILDON,55995.0
SUTTON COLDFIELD,79000.0
FARNBOROUGH,69950.0
HEREFORD,71333.33333333333
PLYMOUTH,43750.0
COLWYN BAY,27000.0
BEVERLEY,48950.0
COLCHESTER,52450.0
READING,127500.0
WILMSLOW,61500.0
WARRINGTON,103375.0
IPSWICH,87000.0
SALE,38000.0
BANBURY,70000.0
TELFORD,69950.0
BUCKLEY,38500.0
CRAWLEY,56000.0
