TransactionId,PropertyType,County
{81B82214-7FBC-4129-9F6B-4956B4A663AD},T,GREATER MANCHESTER
{8046EC72-1466-42D6-A753-4956BF7CD8A2},S,THURROCK
{278D581A-5BF3-4FCE-AF62-4956D87691E6},T,SOMERSET
{1D861C06-A416-4865-973C-4956DB12CD12},T,BEDFORDSHIRE
{DD8645FD-A815-43A6-A7BA-4956E58F1874},S,WEST YORKSHIRE
{895E4E63-203F-476A-9AA9-42389DD0AE5C},S,WILTSHIRE
{FB195C27-E790-45FD-847A-4238BC94546A},S,OXFORDSHIRE
{1D6B01EC-DC33-4147-8A21-4238BEB2D4C1},S,CORNWALL
{B8D0F817-4553-448D-A2C1-4238BF81C6FA},S,GREATER LONDON
{6DD27423-CC39-4B31-A848-4238D58268D4},T,MID GLAMORGAN
{26D2C1C8-A3E3-41CE-BC2B-45C866A5AA8B},S,LANCASHIRE
{0B76F591-3A20-45C3-9866-3EA912F24661},D,DERBYSHIRE
{E8615B54-3171-4C96-ABFF-3EA9203EBF84},T,SOMERSET
{09268CEC-8551-4E3A-AED4-3EA9259D3470},T,MERSEYSIDE
{DA56CFC9-DE18-4A77-9230-3EA92F12B798},T,DEVON
{6F40F213-A5F8-497B-92FE-3B1849135192},S,HAMPSHIRE
{9AE61270-4481-4152-841B-4956EDE13AC6},S,SOUTH YORKSHIRE
{DECB21B3-BCF5-4931-B9C6-45C880BAF99C},S,MIDDLESBROUGH
{A64E6025-1BF6-4769-B080-45C8B9119ED8},S,THAMESDOWN
{245AD0F6-269C-4E7C-81D0-3EA95518A5E5},T,MERSEYSIDE
{D0BAED24-1E5E-40CF-8457-3EA95E91EF75},D,WEST YORKSHIRE
{9512836C-3BF0-4A18-8540-3B187D0DBC4F},S,HAMPSHIRE
{25701C7F-D9C2-4A2C-984A-3B18892B64DD},D,LINCOLNSHIRE
{5F732ADA-AE64-47FA-8B11-3B1896729A31},D,HERTFORDSHIRE
{7872E672-F131-4AE2-9926-49575B943C31},S,GREATER LONDON
{E9C2D8D2-F35C-4E27-82AF-42391A048C02},S,NORFOLK
{A692446E-9046-4641-A5C2-3EA987CAFA7D},S,WEST YORKSHIRE
{532C20F8-8201-49EF-AEA8-3EA99680E3FB},T,GREATER MANCHESTER
{5F31B4FC-564E-4021-B643-3EA9986AF985},T,GREATER LONDON
{1DC76457-915F-48AB-87A0-3EA9998A60D4},T,WEST YORKSHIRE
{FFAACBD2-EB5A-4C35-9B0B-3B18CA6FE6C6},S,HUMBERSIDE
{918ECD7D-1CF7-4E4E-9348-3B18D3F79E75},S,GREATER MANCHESTER
{A19FDDFE-E141-49FD-823A-49578C592A7A},T,NORTHAMPTONSHIRE
{61234766-65EE-413A-8A7C-4239591540AB},F,DEVON
{0C92B547-E1F2-4674-8FE8-42396185D3FC},T,WEST YORKSHIRE
{84973698-094D-4BBF-B4AE-42396C71AF6E},T,GREATER LONDON
{328D4F74-5A78-44CD-9766-42396E90FB79},T,ISLE OF WIGHT
{3A10938D-F1C0-47F5-B3BE-423985ABA952},S,HERTFORDSHIRE
{2BEAB69F-2BCD-4D62-B045-423996DE623F},D,NOTTINGHAMSHIRE
{A72A25BB-4A92-4975-A04A-45C8F7887CDD},T,CLEVELAND
{31F5D8BC-EE7B-4B90-8CC9-45C91BFE89C1},D,HERTFORDSHIRE
{B9768969-67A6-4144-8AB4-45C92F592729},S,WEST GLAMORGAN
{CF446A06-6347-4C7D-8CCE-3EA9BD5F9685},T,CHESHIRE
{AC95B43C-B2E9-4CD8-A3C1-3EA9C7CD0913},S,MERSEYSIDE
{44B8F66A-BA66-4FC8-B087-3EA9E0299126},S,WEST GLAMORGAN
{4A586127-853E-4750-AD73-3EA9E30DC52B},S,GREATER LONDON
{A071B6C5-4B29-4E6F-9CDF-3EA9F9C5E09F},D,HARTLEPOOL
{DA62AC33-AEAC-4515-8255-3B19086454DB},T,HERTFORDSHIRE
{452D916A-EA7F-4F63-B5AD-3B19153F6EE3},D,NOTTINGHAMSHIRE
{254FD952-989F-472E-8C33-4957BC611C73},S,SURREY
{910A0F78-9932-4B0E-968E-4957BD954496},F,ESSEX
{19E34774-C21B-4B34-89DC-4957CEC6DC37},T,BUCKINGHAMSHIRE
{3BC58F07-877C-485A-8497-4957D3FC3A97},D,TYNE AND WEAR
{5EDE8F8E-40A9-4AA9-B6A1-42399F259D73},T,EAST SUSSEX
{D0E72C17-054C-4627-820E-4239A3229750},S,BLAENAU GWENT
{97E6AE85-2794-4D88-A896-4239A7B547DD},S,SOUTHAMPTON
{8F26E575-EC5C-4F09-A2FB-4239B99B6505},S,WEST MIDLANDS
{102584BA-B57F-4EE5-A201-4239BE850B05},D,EAST SUSSEX
{6659807A-9D4F-4B2C-BE51-4239CF7CEEAC},D,WORCESTERSHIRE
{A2FBF78A-13AA-4C07-B66E-45C944577F1D},S,GREATER MANCHESTER
{C31CA47B-6B37-4A3E-A5D9-45C96C98E715},T,WEST SUSSEX
{59AF0DFB-45AE-495F-A493-45C96D935815},S,GREATER LONDON
{CD02FA27-7BAF-4D7E-9EB3-3EAA0C14E91B},S,GREATER LONDON
{D1CD8AEA-8FD1-4B94-8540-3EAA10A42E7E},F,KENT
{773E01F6-D465-46D7-A1FA-3EAA15D64302},F,MERSEYSIDE
{3C01FA3A-78CA-4F28-B05F-3EAA38703D7B},S,WORCESTERSHIRE
{F8AB903C-57DF-47DA-96D5-3B191E83D4D7},T,LEICESTERSHIRE
{E11E32BA-60C2-4BB6-B681-3B1957E8E330},S,ESSEX
{DF159DE2-7314-48BB-9E87-3B1959074319},D,NORTHAMPTONSHIRE
{0CFCC725-0208-43CD-9880-4957DAE1362A},D,LEICESTERSHIRE
{D32119E3-68DD-4909-A1FD-4957F2503C21},S,HAMPSHIRE
{93EFA5CB-2563-48D0-8F4C-4239ECC8276D},S,MERSEYSIDE
{0DDE7D6C-36B4-4659-9CA8-4239F7DB7D90},S,WEST YORKSHIRE
{2240455C-5844-4BDD-99E6-423A0BB80D4A},D,POOLE
{00CF0FF8-1282-4DA2-B652-423A0FBB4F74},S,GREATER MANCHESTER
{31D187F2-2604-4D87-B2CA-45C99E99197F},F,HERTFORDSHIRE
{7A28E11C-81FE-4BE9-9722-3EAA79DA1D10},D,OXFORDSHIRE
{B2611300-90BB-4FF7-AB10-3B195C465BE8},T,HAMPSHIRE
{87E4FE08-B0E8-4AAF-BEC6-3B19798FE294},S,NORFOLK
{A6F2BB05-5CCE-4F30-9543-3B1979F4BFEE},T,WEST MIDLANDS
{F4248276-A6E2-4B20-AA50-495834E9E51E},D,NORTHAMPTONSHIRE
{F33D6FEA-36D6-41CF-8084-49584762EFCB},T,GREATER LONDON
{CA3DFC79-B823-4A95-829A-495847BFF224},T,DERBYSHIRE
{FCB85BB3-F9C3-4CD8-BDA4-423A1D5A4578},S,CORNWALL
{A4B6B27B-A80B-4C28-A9B9-3EAA94075DD8},S,WEST MIDLANDS
{24712943-85FD-46D3-B9CD-3EAA9CCB707D},T,GREATER MANCHESTER
{D8F79D6B-6C00-49A4-A961-3B19976CDFF6},D,LINCOLNSHIRE
{5BBE9CB3-6332-4EB0-9CD3-8737CEA4A65A},S,TYNE AND WEAR
{20E2441A-0F16-49AB-97D4-8737E62A5D93},S,THURROCK
{F9F753A8-E56A-4ECC-9927-8E626A471A92},S,STOCKTON-ON-TEES
{E166398A-A19E-470E-BB5A-83B4C254CF6D},S,CUMBRIA
{A9A3C463-3CA0-4D71-8CF9-83B4D0536EEA},S,NORFOLK
{8DE57D57-DDC3-4993-8C33-83B4E5BAA543},D,SOUTH YORKSHIRE
{568DE11A-432B-4DA3-B9A4-83B4EC4BD127},F,GREATER LONDON
{F7A5CAE4-BDD3-4911-897C-8AC393B97281},T,NORTH YORKSHIRE
{DED4E551-6B96-40FB-98E9-8AC3B9071356},T,GREATER LONDON
{84CE6A8C-3D0F-47F8-8442-8E62807A726D},S,WEST MIDLANDS
{F5F9C3FD-8684-4D4E-B5B8-8E629F77474C},D,SOMERSET
{D263B73F-7C3A-4062-A432-83B51327C389},T,SLOUGH
{70D9ADE8-D76A-47CD-874D-83B5151C19ED},T,SOUTH YORKSHIRE
{79B19868-18CF-4AFD-9660-83B535502A0C},T,WEST MIDLANDS
{8A5F7A96-0865-46E3-B3D9-91F47C16313A},S,GREATER LONDON
{C03038E8-1504-4249-BDF9-91F4A24C8E35},F,LANCASHIRE
{95F22B84-A5E2-456C-9340-8737EB37D141},S,WEST YORKSHIRE
{3769C849-73ED-4BE8-A22D-87381AF1C293},F,SUFFOLK
{4BEC9D35-FE45-46E7-A792-87381D0D641D},T,SOUTH GLAMORGAN
{AA71606E-1475-4145-8AC5-873828E32914},S,NORTH YORKSHIRE
{187BB53D-F6EA-4D06-B773-8E62BDBD727B},D,AVON
{9721939A-CD0C-4994-A810-8E62BDFE42A2},T,STAFFORDSHIRE
{93F01E61-FAC3-48D6-8A23-8E62DF6C15A3},S,MERSEYSIDE
{1360C8ED-3236-4F98-8B92-83B5732FC11B},S,CORNWALL
{9FE1BC51-ED7D-42EF-A702-8AC3DB701917},T,NORTH YORKSHIRE
{625D11E2-4EC8-4F4E-8461-8AC3E9E52FD4},S,SOUTHEND-ON-SEA
{B9B8940D-CC04-4B52-AFD5-873834A39391},S,HUMBERSIDE
{2D95D765-C921-4660-A97C-87383B7F9C88},F,WEST SUSSEX
{969592B0-5CBA-4E9B-AD77-87385A317EFB},S,WEST MIDLANDS
{00067C19-4FD9-49F3-B1F1-8738623D92E3},F,HUMBERSIDE
{4FFBEFCC-63F8-46A4-B245-8E62FA58BCEB},D,WARWICKSHIRE
{E9BF7CC1-7EA0-45A8-BF43-8E6311DFF5C6},D,MERSEYSIDE
{8D28EE68-8F4F-4C7D-8A33-8E6335277383},F,GREATER LONDON
{3DEDA117-E316-4349-B882-83B58B659205},S,NORTHAMPTONSHIRE
{2E9A814C-34A0-48CC-8A8A-83B599E24B2A},S,WEST SUSSEX
{A7ADDF28-655C-4A5F-8E60-83B59B7DF2FB},T,HAMPSHIRE
{E76CCDAE-3A80-434F-99C3-91F5106F74E3},F,HERTFORDSHIRE
{70CFEE2A-64F1-4FA8-AF97-87386F579574},F,BEDFORDSHIRE
{C4523837-9746-488B-8CCF-83B5C7C0B271},D,BERKSHIRE
{C2FF025C-9092-4B8C-9C3C-83B5E6F2C219},T,SOMERSET
{7F5EA220-E2DC-46E0-80EF-83B601ABFD78},S,OXFORDSHIRE
{EE986F49-417E-4DA6-AD24-83B603B553FA},S,HAMPSHIRE
{3A2C1686-03CE-434B-86A9-83B60657A3F0},T,LINCOLNSHIRE
{7CC0B4E4-8D33-4ED7-AA63-91F54B7A70D3},S,SUFFOLK
{1110C2A2-CFCC-46EC-9292-8AC4427B9292},F,WEST SUSSEX
{B8318745-E2FD-44EF-B545-8AC44AAE121B},D,WEST MIDLANDS
{8B08088C-5E4B-40A6-9361-8AC46012F5B1},S,GREATER LONDON
{AC367278-4C55-4C0A-906F-8AC466B017C0},T,WEST MIDLANDS
{B88D58C5-4E20-4B18-96B9-8738B69FD4F0},S,KENT
{457827BB-15B9-4B84-BFFE-8738D8B5780F},T,SOMERSET
{05A1880B-83F8-44E5-8222-8E637D6AA0B9},S,WEST SUSSEX
{F694BEC4-5DC1-4C08-9DB4-8E638D521D7D},S,LEICESTERSHIRE
{8CB7F04C-B402-4AB0-AC13-8E6392ACFBD9},T,SOUTH YORKSHIRE
{804F8E03-951F-495E-A172-8E639F541C5F},S,SURREY
{064AFAC5-9F97-4646-82F8-8E63A8FA120A},S,OXFORDSHIRE
{F5ACA0FF-58E3-47D9-9967-8E63AA6EAB43},S,MID GLAMORGAN
{5F8F69D0-70CA-45E8-8EA2-83B62CEABEA7},T,KENT
{5AC92E8F-F3FF-431D-9A21-83B62E0D1CAE},S,ESSEX
{5B930ACF-A3EE-4B2B-9F23-83B633900CF1},T,ESSEX
{9CA1CC9A-4549-4F2A-A6EF-91F5739BDA3E},T,GREATER LONDON
{D62C5CBD-213D-4A5C-B1A5-91F5951CD5C8},S,ESSEX
{CA29A6E4-6129-4AAA-97A9-91F5A2292574},S,MERSEYSIDE
{C1EF2944-FE3F-4BB4-B4FD-8AC483333F6F},T,AVON
{46BDFA58-993E-467B-9CD4-8AC49B8162DB},T,GREATER MANCHESTER
{5D4952FA-5C76-405F-8F82-8738E6E28A4E},T,BUCKINGHAMSHIRE
{7A5D39D9-8228-4B65-BBFF-8738EEFFCAD3},S,HAMPSHIRE
{57504629-68A0-4C97-9846-8738FC2B0DAA},D,SUFFOLK
{E51EF2B3-AC84-44FA-A240-8738FE0F6402},S,GREATER LONDON
{8507E664-CE67-4498-9D77-8739079409F8},T,MERSEYSIDE
{CF526927-430C-44B8-84B0-8E63B816B9B9},S,ESSEX
{45FCA755-5CD4-48B2-A6FD-8E63D3FAC0FE},D,NEWPORT
{046F8C93-44B4-4445-A9BA-8E63D908F979},S,LINCOLNSHIRE
{640AB9E0-69E1-4E31-B525-8E63EC719300},S,HEREFORD AND WORCESTER
{7150138D-622A-4904-AA3D-83B6589DDBE7},F,GREATER LONDON
{613256AB-DC5E-4304-BCDB-83B66FAE372A},T,HERTFORDSHIRE
{E55377F2-21CF-4DBC-A6DD-83B6710D4A04},T,WEST MIDLANDS
{FEDA6BED-E256-425F-9733-83B68836289D},F,SURREY
{D7BB9D6E-48B1-4B52-B18B-91F5D74F83C7},F,TYNE AND WEAR
{F7FFE6FB-48D3-4629-8C29-8AC4CDF1A6F0},S,WARWICKSHIRE
{88129CFC-49E4-4632-8763-8AC4D2812A55},D,LEICESTERSHIRE
{B07FDFED-3E8D-4BAF-A933-8739608D7590},S,GREATER LONDON
